GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Lidalia Lang,uk.org.lidalia.lang,Modifier.new Modifier() {...},0,14,0,0,0,3,0,3,0,3
Lidalia Lang,uk.org.lidalia.lang,RichObject.IdentityFieldLoader.new Function() {...},0,8,0,0,0,2,0,2,0,2
Lidalia Lang,uk.org.lidalia.lang,RichObject.IdentityFieldLoader.new Function() {...},0,6,0,0,0,2,0,2,0,2
Lidalia Lang,uk.org.lidalia.lang,Modifier.new Modifier() {...},0,14,0,0,0,3,0,3,0,3
Lidalia Lang,uk.org.lidalia.lang,Modifier.new Modifier() {...},0,14,0,0,0,3,0,3,0,3
Lidalia Lang,uk.org.lidalia.lang,Modifier.new Modifier() {...},0,14,0,0,0,3,0,3,0,3
Lidalia Lang,uk.org.lidalia.lang,Modifier.new Modifier() {...},0,14,0,0,0,3,0,3,0,3
Lidalia Lang,uk.org.lidalia.lang,RichObject.IdentityFieldLoader.new Predicate() {...},0,6,0,0,0,2,0,2,0,2
Lidalia Lang,uk.org.lidalia.lang,Modifier.new Modifier() {...},0,14,0,0,0,3,0,3,0,3
Lidalia Lang,uk.org.lidalia.lang,Modifier.new Modifier() {...},0,14,0,0,0,3,0,3,0,3
Lidalia Lang,uk.org.lidalia.lang,Modifier.new Modifier() {...},0,14,0,0,0,3,0,3,0,3
Lidalia Lang,uk.org.lidalia.lang,Task,3,11,0,0,2,6,0,3,0,3
Lidalia Lang,uk.org.lidalia.lang,Exceptions,14,9,0,0,4,3,2,2,2,2
Lidalia Lang,uk.org.lidalia.lang,RichObject,7,140,0,14,2,26,0,16,0,9
Lidalia Lang,uk.org.lidalia.lang,ThreadLocal.new Supplier() {...},0,17,0,0,0,4,0,2,0,2
Lidalia Lang,uk.org.lidalia.lang,ThreadLocal.new Supplier() {...},0,9,0,0,0,2,0,2,0,2
Lidalia Lang,uk.org.lidalia.lang,RichObject.new Function() {...},0,23,0,0,0,2,0,2,0,2
Lidalia Lang,uk.org.lidalia.lang,RichObject.FieldFacade,15,35,0,2,2,10,0,6,0,5
Lidalia Lang,uk.org.lidalia.lang,Modifier,5,133,0,0,0,13,1,3,1,3
Lidalia Lang,uk.org.lidalia.lang,RichObject.new Predicate() {...},0,19,0,0,0,2,0,2,0,2
Lidalia Lang,uk.org.lidalia.lang,RichObject.FieldFacade.new PrivilegedAction() {...},0,13,0,0,0,3,0,2,0,2
Lidalia Lang,uk.org.lidalia.lang,RichObject.IdentityFieldLoader,0,45,0,0,0,9,0,4,0,4
Lidalia Lang,uk.org.lidalia.lang,RichObject.new Function() {...},0,7,0,0,0,2,0,2,0,2
Lidalia Lang,uk.org.lidalia.lang,Classes,1,34,1,5,0,8,1,6,0,4
Lidalia Lang,uk.org.lidalia.lang,WrappedValue,0,44,0,8,0,10,0,8,0,4
Lidalia Lang,uk.org.lidalia.lang,ThreadLocal,0,53,0,0,0,14,0,6,0,6
Lidalia Lang,uk.org.lidalia.lang,Modifier.new Modifier() {...},0,14,0,0,0,3,0,3,0,3
Lidalia Lang,uk.org.lidalia.lang,Modifier.new Modifier() {...},0,14,0,0,0,3,0,3,0,3
Lidalia Lang,uk.org.lidalia.lang,Modifier.new Modifier() {...},0,14,0,0,0,3,0,3,0,3
Lidalia Lang,uk.org.lidalia.lang,Modifier.new Modifier() {...},0,14,0,0,0,3,0,3,0,3
Lidalia Lang,uk.org.lidalia.lang,LazyValue,6,26,0,2,2,7,0,4,0,3
